Name,Marital Status,Age,Income
Kareem,Single,31,142111
Graiden,,30,109407
Justina,Other,26,125357
Jeremy,Single,33,139054
Cathleen,Other,35,97864
Charlotte,Other,38,93846
Alea,Other,52,118584
Hedy,Other,59,49865
Lesley,Married,42,145080
Eliana,Single,37,119195
Sasha,Married,51,124174
Nicholas,Married,24,95448
Odysseus,,41,57355
Eugenia,Other,73,69666
Castor,Divorced,53,73104
William,Divorced,45,94075
Driscoll,Married,37,102506
Ima,,48,110862
Harper,,60,72429
Vielka,Married,54,94726
Brenda,Divorced,34,141172
Kasimir,,43,122507
Farrah,Married,38,56431
Fredericka,,35,64839
Jordan,,44,84492
Pamela,Other,75,49459
Edward,Divorced,33,75122
Wilma,Divorced,66,130178
Kiona,Married,41,129353
Lamar,Married,61,133859
Carolyn,Other,36,66964
Reece,,58,52055
Allen,,27,93534
Julie,Other,45,97478
Aurora,Divorced,46,145898
Azalia,Married,49,76415
Alika,,74,125593
Jessamine,Married,41,86891
Sandra,Divorced,73,74624
Chancellor,Married,69,98899
Eaton,Married,72,66791
Shana,Other,60,99301
Hedwig,Other,50,63026
Arthur,,33,122950
Quemby,Married,31,138161
Fritz,Divorced,26,107992
Holmes,Married,71,112161
Amber,Single,60,106908
Christopher,Divorced,55,93791
Evelyn,Married,24,53232
Jacqueline,Other,49,144651
Grant,Other,62,118897
Hedwig,Other,64,103764
Aladdin,,47,112435
Maite,,28,72384
Jerome,Divorced,56,105000
Caldwell,Other,37,107620
Lynn,Other,72,126477
Erasmus,Married,34,128067
Driscoll,Divorced,62,125208
Rooney,,61,52862
Donna,Divorced,54,77022
Garrett,Divorced,26,150105
Castor,,43,46110
Iola,Single,38,137863
Mufutau,Single,26,103744
Eleanor,Divorced,26,124413
Abigail,Divorced,37,139187
Alika,Single,65,69206
Kieran,Divorced,26,145816
Wendy,,57,61848
Ralph,Other,26,110054
Quinn,,70,109354
Ingrid,Married,31,142284
Giselle,Divorced,57,57471
Dane,Divorced,31,146680
Hilel,Other,32,50620
Zahir,,31,81060
Fiona,Married,61,72692
Latifah,,64,56584
Camille,Other,45,140327
Laura,,68,96134
Denise,Married,68,57662
Roary,Divorced,36,124332
Alden,Divorced,33,88307
Anne,Other,30,88751
Adara,Divorced,46,50266
Xavier,Single,36,135963
Lionel,Divorced,73,97583
Jameson,,38,56515
Lane,Single,58,99476
Nasim,Married,57,54856
Jesse,Divorced,53,68178
Tad,Married,48,80638
Audrey,Married,28,52815
Tallulah,Married,29,106812
Unity,Divorced,38,141938
Signe,Married,42,54305
Cleo,Married,76,97754
Nora,Single,44,48302
